,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,soso_Nft1,"Digital Artist 🎨
https://t.co/nBmWoh6eaC",,1249,437,11661,0,@millifoxxx So cute😍💜,[]
1,soso_Nft1,"Digital Artist 🎨
https://t.co/nBmWoh6eaC",,1249,437,11661,1,gm 💗 Collaboration is key to survive https://t.co/omlMD1Vscu,[]
2,PlantainSuga,🇸🇱|🇬🇭. plantain stan acc. child of God. entrepreneur🗣. business page❤️@lipcity_beauty,,852,1410,16613,1,"afro beats na soso romance, vibes, praise God and repeat and i love it https://t.co/i9Ua8OX6ts",[]
3,soso_cots,"overthinking is fucked up
ig:sofiamendescots","Brasília, Brasil",96,73,1275,0,@florachupahalls qual???,[]
4,TrenchKid_002,"A STORY OF A YONG BLACK BOI 🖤💰 Shatta Wale, Real Madrid And CR7 Fan  #GOGALBUM #ShattaMovement","Accra, Ghana",3354,3083,49199,71,Wetin dey do this Soso? 🤦🏼‍♀️ https://t.co/4QpK11C9d1,[]
5,omodara_jnr,Music lover | #Libra ♎ | CFC | #WIZKIDFC❤️ |,A place far away from home,4991,2519,9979,5,That Omah Lay Soso video is an example of a proper music video.. no be to Dey pack people for video like Indian movies…,[]
6,Shutuptaire,"✨FUTURE OLYMPIC POLE VAULTER✨
19
        
they/them",ur moms bedroom,429,56,5068,0,@siriuseok LMAO thats soso valid bae,[]
7,o_r3tr0,"(video requests closed)
Só um simples editor de vídeo/Just a humble video editor
Edito para/Editor for: @fansitube @PhillyBeatzU
PFP by: @mfcpng",,234,57,2194,4,"Thank you soso much for everyone that joined me on my first ever test stream!! I had a blast 😭💜💜

We finished this drawing btw and I'm super happy how it turned out!! :'0

#ENVtuber #VtuberSupport #digitalart #DigitalArtist https://t.co/4cigD76NNc",[]
8,soso_spayi,Friend of the Earth |Social Services Professional |Views are my own not of my employer,"England, United Kingdom 🇬🇧",15986,19411,160742,102,Is this not Terreblance???? 😭 https://t.co/RRheOrSuUF,[]
9,Goldfm86,A Station with penchant for excellence.|Music|News|Sports|Promoter| Goldfm864@gmail.com|Instagram: goldfm86|Bbm Channel C0049BAF1,"P.M.B. 1045, Zaria, Kaduna",138,3500,70183,0,#Np SOSO by @Omah_Lay #WednesdayAfternoonPlaylist With @sugarboy465,"['Np', 'WednesdayAfternoonPlaylist']"
10,soso_Nft1,"Digital Artist 🎨
https://t.co/nBmWoh6eaC",,1249,437,11661,0,@davidalexp7 So Beautiful Collection 💜💜,[]
11,Sussex_Official,"An Aquarius ,
An Archaeologist,
A web developer,
Music maker,
Song writer,
Performer,

https://t.co/J49VFXLqtU",Nigeria,1557,2526,7488,71,Wetin dey do this Soso? 🤦🏼‍♀️ https://t.co/4QpK11C9d1,[]
12,p7ppyy,"ֺ۪ ⭒ ݂  ֺ۪ ☆￣(＞。☆) ⭒ ݂ ㅤ
   ˶જ  ⵌ  zomb  /  zero  /  flutters 
     ʚ  eng  /  (learning)  ger  ɞ
       ☆ﾟ⁠.⁠*⁠･⁠｡ﾟ",bed  🐾  it  / he /she,78,17,591,0,m  soso  sleepy,[]
13,aria94878778,"Portrait painting of world famous people in a new and unique style
1/1 #NFT

#TNTNFT 
#TeamMonster 
#NABU

pls check my collections in here https://t.co/RHM6d6Uzej",NFT Town 🌻,643,1633,31293,0,@ariandarbandi1 @ameensol @Amir_Sharifpour @Rezazeidani1 @MehranMirzayii @hami3dreza @tahereh_eth @alimoradi_arefe @qazalpoorasadii @HamidSepehri7 @Elishams1984 @soso_niick @RGBsiah @minazall @Mahdokhshirvani thank you brother 😍❤️,[]
14,arisnova_,"Music, therapy, creativity and art. Bookings: lek2ary@gmail.com","Liverpool, England",2939,3653,54577,71,Wetin dey do this Soso? 🤦🏼‍♀️ https://t.co/4QpK11C9d1,[]
15,CreatorG11,"CREATORG X #VERTICALNFT Club
Change 2d to 3D GHOST Nft
💥Collectible NFT💥
🔥 Available On Opensea
🎃 Handmade
🦴 Floor Price 0.001
☠️ No Gas Fee
SUPPLY 1/1 DAY",,2775,1070,80244,2,"Hi 💙
Title :  SoSo 51 
Price : 0.012 $ETH 
Polygon Network 
Platform : @opensea 
There is no greater agony than bearing an untold story inside you...
https://t.co/SM5DPGb9m2 https://t.co/FhDKiMWG07",[]
16,soso_Nft1,"Digital Artist 🎨
https://t.co/nBmWoh6eaC",,1249,437,11661,0,"@inVinoStudio Title :  SoSo 51 
Price : 0.012 $ETH 
Polygon Network 
Platform : @opensea 
There is no greater agony than bearing an untold story inside you...
https://t.co/SM5DPGaBwu https://t.co/w8TXJcERxR",[]
17,soso_Nft1,"Digital Artist 🎨
https://t.co/nBmWoh6eaC",,1249,437,11661,0,"@maytoyoart @o_waysea Title :  SoSo 51 
Price : 0.012 $ETH 
Polygon Network 
Platform : @opensea 
There is no greater agony than bearing an untold story inside you...
https://t.co/SM5DPGaBwu https://t.co/T2EGNJL3FQ",[]
18,soso_Nft1,"Digital Artist 🎨
https://t.co/nBmWoh6eaC",,1249,437,11661,0,"@NFTDegenNSM Title :  SoSo 51 
Price : 0.012 $ETH 
Polygon Network 
Platform : @opensea 
There is no greater agony than bearing an untold story inside you...
https://t.co/SM5DPGb9m2 https://t.co/raesFIzoaw",[]
19,soso_spayi,Friend of the Earth |Social Services Professional |Views are my own not of my employer,"England, United Kingdom 🇬🇧",15986,19411,160742,0,@mandy_thabile Only fear God.,[]
20,pajipasta_soso,"she/her || #트레저 #위너 ||💎10 in our eyes, 12 in our hearts💎 3Wells💙💙💙💙  OHMYGOD. MAEIL 📈📉*Lots of things happened recently but please believe in Treasure*",Teuland - Ph 🇵🇭 ,84,7,1225,0,Vote for your favourite artists now! https://t.co/iAdnnG7Wi6,[]
21,radlycart,"#RADLYPROOFS • if no reply please up your message, ty! • dm to avail/inquiries • gcash only · 🇵🇭", seller since july 2020,5,165,6506,0,🏷 lf ios paid apps papers please stardew valley bloons td 6 dazz cam touchretouch touch retouch soso note cytus 2 II gta grand theft auto san Andreas vice city 3 monopoly cluedo the game of life 2 battleship terraria,[]
22,RoseART_MOMO,"NFT Artist ,
Digital Artist ,
Modern Art, cubism 💙
(My Art is My Life)
🏷https://t.co/ODt6dByxWl
.

🏷https://t.co/NlRvDmGHId",,755,802,22291,0,@soso_Nft1 @opensea WoOw😍😮🤯this is so Beautiful 👌🏻,[]
23,RoseART_MOMO,"NFT Artist ,
Digital Artist ,
Modern Art, cubism 💙
(My Art is My Life)
🏷https://t.co/ODt6dByxWl
.

🏷https://t.co/NlRvDmGHId",,755,802,22291,2,"Hi 💙
Title :  SoSo 51 
Price : 0.012 $ETH 
Polygon Network 
Platform : @opensea 
There is no greater agony than bearing an untold story inside you...
https://t.co/SM5DPGb9m2 https://t.co/FhDKiMWG07",[]
24,soso_Nft1,"Digital Artist 🎨
https://t.co/nBmWoh6eaC",,1249,437,11661,2,"Hi 💙
Title :  SoSo 51 
Price : 0.012 $ETH 
Polygon Network 
Platform : @opensea 
There is no greater agony than bearing an untold story inside you...
https://t.co/SM5DPGb9m2 https://t.co/FhDKiMWG07",[]
25,pajipasta_soso,"she/her || #트레저 #위너 ||💎10 in our eyes, 12 in our hearts💎 3Wells💙💙💙💙  OHMYGOD. MAEIL 📈📉*Lots of things happened recently but please believe in Treasure*",Teuland - Ph 🇵🇭 ,84,7,1225,2234,"2023 TREASURE TOUR [HELLO] SCHEDULE ANNOUNCEMENT

#TREASURE #트레저 #TOUR #HELLO #SCHEDULE #ANNOUNCEMENT #YG https://t.co/LujSuuFrer","['TREASURE', '트레저', 'TOUR', 'HELLO', 'SCHEDULE', 'ANNOUNCEMENT', 'YG']"
26,hourlymomiri,#ᴍᴏᴍɪʀɪ: “𝘸𝘪𝘭𝘭 𝘺𝘰𝘶 𝘭𝘦𝘵 𝘮𝘦 𝘣𝘦 𝘨𝘳𝘦𝘦𝘥𝘺 𝘸𝘪𝘵𝘩 𝘺𝘰𝘶?”,mori ♡ mira,16,62,13574,0,mori just visited me and he told me a smth!!he wants to say that he loves u dearly soso much and he is waiting for you :] with so many hugs and kisses!!,[]
27,omerfrk99,"خادم الحضرة المحمدية إبراهيمية 
Manchester united 💯
لقد صنت نفسي من ضلال وفتنة** بفقه الإمام المالكي والتصوف","Gombe, Nigeria",659,299,6621,71,Wetin dey do this Soso? 🤦🏼‍♀️ https://t.co/4QpK11C9d1,[]
28,h0m0estas,#원호 : i want to leave with you 🏝 | 29 | they/him | multi-group stan 🤙,destiny islands 🏖,129,251,27189,12,"this was soso precious, their love for each other is so beautiful, tender and natural 🥹 they care about each other so much, these soulmates. (last one from me i promise, just.. so much stuff happened this year and i love them!! 😭)
https://t.co/XfGrjNdZnw https://t.co/o0JpkICIZL",[]
29,BowlOfCocaine,"Vote Labour Party 
I am OBIdient 
Vote Peter Okanlomo Obi
Obi-Datti ni se",Earth,297,195,19871,71,Wetin dey do this Soso? 🤦🏼‍♀️ https://t.co/4QpK11C9d1,[]
30,ria_star1117,"🧡𝐀𝐓𝐄𝐄𝐙 • 8𝐌1𝐓🖤 ||𝟐𝟐.𝟎𝟓.𝟏𝟐 🏴‍☠•𝟐𝟑.𝟎𝟐.𝟐𝟖 🏴‍☠️ ||+ TXT, DKB, INFINITE,SHINee, 2nd Gen",,706,193,16076,0,@TinyLizzie3 U truly made me soso happy bb 🥹❤️ thanks to ATZ I also find lovely froends who really care for me 🥹❤️ can’t wait to meet u the day of the concert bb 🥹🥹❤️,[]
31,chioma_soso,,"Lagos, Nigeria",180,172,5545,6138,outside is very expensive. Inside is data consuming,[]
32,SoSo_Dope,🇸🇱 queen of kiki || curator of chaos,"Brooklyn, NY",835,925,27335,0,😂 the first one kinda fire https://t.co/u7NP1OWBZs,[]
33,soso_rayaa,💋💋,,666,403,10240,612,don’t call me pretty unless u got a pretty big dick.. thanks,[]
34,chioma_soso,,"Lagos, Nigeria",180,172,5545,5651,"Dear lagosians there are 36states in nigeria, nigeria does not start and end in lagos!! People live in calabar, porthacourt akwa ibom, enugu benin and delta&amp;they have amazing lives and they do not drink yellow water and spend half of their lives in traffic or pay expensive rent.",[]
35,soso_rayaa,💋💋,,666,403,10240,13,G’morning to all silly gooses &amp; silly gooses only,[]
36,King_VickThor,"God First | God is The Greatest | Aries King | Die Hard Man Utd Fan | Let’s discuss Cryptocurrencies, NFTs and The Metaverse.","Port Harcourt, Nigeria",405,502,3951,0,@KamangeFavour Afurom igbo and shayo…soso sucre and it’s likes!!😳,[]
37,soso_rayaa,💋💋,,666,403,10240,0,all of you are vanilla and it’s gross,[]
38,SirKc4ifeka,🔴⚫🏆🇮🇹,Lagos,1432,228,7602,71,Wetin dey do this Soso? 🤦🏼‍♀️ https://t.co/4QpK11C9d1,[]
39,aliyowww,she/her | FULL OF RAGE FULL OF LOVE,,103,137,20825,0,i interact with people everyday everyday but i still feel so soso lonelyyyyy,[]
40,OlebogengZondo,,,4,0,17,0,@soso_spayi Do you know any youtuber who provides full details about the whole journey I want to apply but I want the full details,[]
41,Boystoner_music,Recording Artiste🎤 l Music Producer🎹l Publicist🌠l Taurus♉l Music & Emotions🎶ChelseaFc💙 Keep Pushing & Live life🙏🏾 Art Maestro🚀DM let's Collab‼,"Lagos, Nigeria",2175,1094,11798,4,Soso by @Omah_Lay is my Afro beat song of the year that song is  too wonderful ✨️ 👌🏾💯,[]
42,Kvng_Barns,"Entertainment news / A Baker/ Follow for Follow / Davido my Goat / Food scientist•°•
#I_STAN_DAVIDO_4_LIFE","Abuja, Nigeria",595,111,1106,0,"Omah Lay’s (@Omah_Lay) “soso” has surpassed 5 million views on YouTube 💜🔥

— All official videos from “Boy Alone” have now surpassed the five million mark on the platform.  5/5 🌟 

Keep watching 💨 : https://t.co/aIisBCmxty",[]
43,lHUGKYU,tattoo’s and ilhem’s wifie .•*•. she/her,trying to bite kyu,530,471,15209,0,@inlylvkyu YHHHHH SOSO IS BACK IN THE GAME,[]
44,unruly209,i say what I like and that's none of your fvckin business except you wanna cry,vawulense,240,339,25791,71,Wetin dey do this Soso? 🤦🏼‍♀️ https://t.co/4QpK11C9d1,[]
45,pinkypel,jiji !! normal epel artist 👆🏻 here for a fun time not a long time 🍓🍎✨ | oc x canon | 🚫 spoiler free | proship DNI,she/her | 18↑,186,253,2282,0,"@Hikari_PM HELLOOO!?@?!,#, YOU ARE SOSO SWEET I FEEL THE SAME WAY!! URE SO FRIENDLY AND SUPPORTIVE ALL THE TIME :"") ILYSM HIKARI IM SO GLAD AAAA https://t.co/yXA0XDaCvf",[]
46,AhoadaVictor1,A philosopher in making,,67,34,3719,25,".@Omah_Lay’s “soso” rockets to a new peak of No. 9 on this week’s Nigeria Top 100

“soso” is the fourth top 10 entry off Boy Alone— only MMWTV (9) and Love, Damini (7) are the only 2022 albums to spurn more top ten entries in Nigeria

See full chart here https://t.co/grrl9xikRK https://t.co/5n6u4y7lOf",[]
47,soso_yalhso,All for lay and sehun.,,14,4,124,0,@shpbuboo is this still there？,[]
48,Ehansoni1,"Writer - Business and Sports| Barcelona #Crew96 and #Rapids96 | #TrueVandal #OVA| Event MC
 https://t.co/66O1tTnRFW","Greater Accra, Ghana",2238,2483,38715,51,"Remember Fred Pappoe’s ‘military referees’ manifesto plan to curb Hooliganism? 

Well meet SOSO,an 18year old Kasoa referee.

Soso is not tall, he’s a GIANT. He told me he wants to go professional with refereeing after brilliantly officiating the finals of the Karistma tournament https://t.co/OJdg7NLtPU",[]
49,small_god___,"I like music, I don’t like people. 👎",,41,15,531,790,Culture.. #soso 💜 https://t.co/2M4lUvEYF5,['soso']
50,small_god___,"I like music, I don’t like people. 👎",,41,15,531,1514,"‘SOSO’ official video out now!! 💜

https://t.co/Od6wFbCwPK https://t.co/yMxbBaKLIG",[]
51,Famethebrand,Oluwadarasimi,,61,49,96,0,I can’t listen to Soso and be calm https://t.co/frgCc4Jkrc,[]
52,ItsNottOsama,Im a sinner who’s probably gonna sin again🥷🏿,WLL❤️,173,158,6131,0,Soso take my pain,[]
53,lwtlhl,living in a dream sounded pretty good to me until I woke up,🕸 Any Prns 19,2051,2082,51276,0,HEEE IS SOSO FITTT https://t.co/I9tl67Uhcl,[]
54,johnexx45,@cristiano @realmadrid 🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆,,1657,663,22930,71,Wetin dey do this Soso? 🤦🏼‍♀️ https://t.co/4QpK11C9d1,[]
55,pajipasta_soso,"she/her || #트레저 #위너 ||💎10 in our eyes, 12 in our hearts💎 3Wells💙💙💙💙  OHMYGOD. MAEIL 📈📉*Lots of things happened recently but please believe in Treasure*",Teuland - Ph 🇵🇭 ,84,7,1225,590,"[❄️WINNER❄️] LIVE STAGE [WHITE HOLIDAY] DELAY STREAM SCHEDULE 

- 2023.01.07 SAT 7PM (KST)
- 2023.01.08 SUN 3PM (KST)
- Livestream on Weverse Concerts
📌Buy Access @ https://t.co/PZoEfJBnnu

#WINNER #위너 #LIVESTAGE #WHITEHOLIDAY #20221229_9PM #YG https://t.co/vAqewLiMps",[]
56,KanchanaMotsiri,,,221,50,13619,3,"soso proud of u two, hope u rest well after this u deserve it 💌 
#MCardBigThanksxเจมีไนน์โฟร์ท https://t.co/kQA3yot79e",['MCardBigThanksxเจมีไนน์โฟร์ท']
57,ezekiel_adama,,,74,4,49,71,Wetin dey do this Soso? 🤦🏼‍♀️ https://t.co/4QpK11C9d1,[]
